Project Name,Registration Number,Project Type,Contact Number,Contact Email,Estimated Cost of Construction (in lacs),Estimated Cost of Land (in lacs)
GANPATI PEARL,P-BPL-17-885,Ongoing,9329731894,Ombuildersbhopal@gmail.com,0.01,
SAGAR GREEN HILLS PHASE-II B,P-BPL-17-890,Ongoing,7747016051,sgh2.agrawalconstruction@gmail.com,2782.67,256.83
SAGAR GREEN HILLS PHASE-II A,P-BPL-17-891,Ongoing,7747016051,sgh2.agrawalconstruction@gmail.com,3021.60,194.57
SIGNATURE CITY - PHASE 2,P-BPL-17-901,Ongoing,7869962515,directorsdesk@thesignaturegroup.co.in,796.27,57.28
NOOR-US-SABAH RESIDENCY,P-BPL-17-904,Ongoing,9893027784,arvindmishra68@rediffmail.com,12261.30,81.71
IBD ROYAL CITII 1,P-BPL-17-911,New,8959903602,ibdnalandarera@gmail.com,3494.00,883.74
GOLDEN PALM,P-BPL-17-930,Ongoing,9425302700,gmrbhopal@gmail.com,1185.36,457.55
SPRING VALLEY DEW PHASE 1,P-BPL-17-932,Ongoing,7869950233,sales@asnanibuilders.com,19993381.00,25317000.00
KASTURI VIHAR,P-BPL-17-933,New,9993670255,jagdeeshthakur.jt@gmail.com,,0.01
ELIXIR GREENS PHASE-I PLOTS,P-BPL-17-944,Ongoing,9981169894,infrastructure.elixir@gmail.com,110.00,30.79
ELIXIR GREENS COMMERCIAL,P-BPL-17-945,Ongoing,9981169894,infrastructure.elixir@gmail.com,,
FORTUNE LANDMARK PHASE-01,P-BPL-17-946,Ongoing,9827056370,fortunebuildersbpl@gmail.com,322.87,324.00
"FORTUNE SIGNATURE PHACE -3 (A-1, A-2 &AMP; EWS-LIG BLOCK)",P-BPL-17-947,New,9827056370,fortunebuildersbpl@gmail.com,123.18,25.09
NIKUNJ HEIGHTS,P-BPL-17-949,Ongoing,9826224729,devkibuilder@gmail.com,793.70,330.10
ELIXIR GARDENS PHASE-II PLOTS,P-BPL-17-951,Ongoing,9981169894,infrastructure.elixir@gmail.com,,
ELIXIR GREENS PHASE-II PLOTS,P-BPL-17-952,Ongoing,9981169894,infrastructure.elixir@gmail.com,70.00,54.42
SPRING VALLEY DEW PHASE 2,P-BPL-17-953,New,7869950233,sales@asnanibuilders.com,128942520.85,85211976.00
PALASH PARISSAR PHASE -II,P-BPL-17-955,Ongoing,8889949399,premnathyadav60@gmail.com,134.49,0.40
PRIYADARSHINI PRISTINE,P-BPL-17-979,Ongoing,7389390726,priyadarshiniconstruction@gmail.com,62.95,
CAPITAL GREENS,P-BPL-17-980,Ongoing,9303108355,capitalgreens1@gmail.com,,
DREAM LANDS,P-BPL-17-982,Ongoing,9826648884,tanwani.madhur@gmail.com,56.95,263.35
11TH MILE GARDEN CITY PHASE I AND PHASE II,P-BPL-17-985,Ongoing,9893042341,rituconstructions@gmail.com,2432.13,5000.00
PRIYADARSHINI ADHISHTHAN,P-BPL-17-987,Ongoing,7389390726,priyadarshiniconstruction@gmail.com,330.88,144.50
THE ATHENAEUM,P-BPL-17-988,Ongoing,9827060022,priyadarshiniuniqueconstructions@yahoo.com,1942.50,
PRIYADARSHINI PLEASURE,P-BPL-17-991,Ongoing,7389390726,priyadarshiniconstruction@gmail.com,23.60,
IBDRAISINA PHASE IV,P-BPL-17-993,Ongoing,9826325515,vindhyachalpr@yahoo.com,677.45,51.22
IBDRAISINA PHASE I,P-BPL-17-995,Ongoing,9826325515,vindhyachalpr@yahoo.com,0.01,
IBDRAISINA PHASE III,P-BPL-17-996,Ongoing,9826325515,vindhyachalpr@yahoo.com,907.62,68.61
IBDRAISINA PHASE II,P-BPL-17-997,Ongoing,9826325515,vindhyachalpr@yahoo.com,803.50,60.74
UMA VIHAR COLONY,P-BPL-17-1015,Ongoing,9425301992,akhilmishra1983@gmail.com,1233.99,53.62
SARDAR VALLAB BHAI PATEL APSI KARAR YOJNA MISROD PH. - 2,P-BPL-17-1018,Ongoing,9406565263,info@bda.org.in,19484.23,
GALAXY TOWERS,P-BPL-17-1019,Ongoing,7772972270,galaxytowersbhopal@gmail.com,1810.00,750.00
SAUBHAGYA CITY-01,P-OTH-17-1020,Ongoing,9301239900,vaishnodevbuild@gmail.com,700.00,240.87
WINDSOR ARALIA PHASE-2,P-BPL-17-1028,New,9826037898,windsor.aralia@gmail.com,772.00,31.00
WINDSOR ARALIA COMMERCIAL COMPLEX,P-BPL-17-1029,Ongoing,9826037898,windsor.aralia@gmail.com,250.00,20.00
VERONIKA HEIGHTS,P-BPL-17-1030,Ongoing,9827026191,mohabeandassociates@gmail.com,338.81,244.92
SHRISHTI C.B.D.,P-BPL-17-1031,Ongoing,9039068009,CBD@SHRISHTI.CO,41305.90,36547.30
PRABHATAM HEIGHTS PHASE II,P-BPL-17-1034,New,9311225004,info@prabhatamgroup.com,6457.45,64.01
PRABHATAM HEIGHTS PHASE I,P-BPL-17-1035,Ongoing,9311225004,info@prabhatamgroup.com,3992.24,64.01
AB24,P-BPL-17-1043,New,9425017064,rkg38us@yahoo.co.in,286.60,23.88
ROYAL PARK CITY,P-OTH-17-1044,Ongoing,9009989707,raihomes1@gmail.com,1639.95,1569.95
CLASSICA APARTMENT,P-BPL-17-1062,Ongoing,9826751511,puneet.tiwari47@gmail.com,302.67,1.31
IBD GLORY CITII,P-BPL-17-1064,New,8959903615,ibduniversalrera@gmail.com,865.78,374.94
PEACE VALLY - III,P-BPL-17-1068,Ongoing,9425373182,rishishreepalak@gmail.com,139828000.00,36700000.00
NIRUPAM ROYAL PALMS (EXTENSION 3.45 ACRES) PHASE 2,P-BPL-17-1069,Ongoing,9425006456,info.nirupambuilders@gmail.com,929.00,6.90
NIRUPAM ROYAL PALMS (EXTENSION 5.07 ACRES) PHASE 2,P-BPL-17-1076,Ongoing,9425006456,info.nirupambuilders@gmail.com,331.88,47.69
RED WOODS PHASE-1,P-BPL-17-1087,Ongoing,9752410935,jayshreebuildersbpl@gmail.com,688.89,7.79
MARUTI PARISAR NEELGAGAN HEIGHTS,P-BPL-17-1093,Ongoing,9993733055,WAJEEDBUSINESS@GMAIL.COM,302.90,165.00
SHEETAL STAR CITY,P-OTH-17-1105,Ongoing,8959816276,sheetalstarcity@gmail.com,2025.00,103.00
KALIND BUSINESS CENTRE,P-BPL-17-1113,New,9993143171,kalindinfracon@hotmail.com,83.00,2.14
GALAXY CITY PHASE I/A,P-BPL-17-1132,Ongoing,9977255837,wazirbuildcon@gmail.com,1656.68,1064.00
D.K. 24 CARAT PHASE-1,P-BPL-17-1133,New,7974561689,info@dkconstructionsbhopal.com,1238.90,926.56
STAR CITY,P-BPL-17-1136,Ongoing,7415447144,rudraestates.bhopal@gmail.com,1050.00,303.00
AADI HEIGHTS,P-BPL-17-1137,Ongoing,9685807744,shreeaadiconstruction@gmail.com,64650000.00,22700000.00
IBDRAISINA PHASE V,P-BPL-17-1142,Ongoing,9826325515,vindhyachalpr@yahoo.com,801.33,60.57
SHEETAL HEIGHTS,P-BPL-17-1152,Ongoing,9827226164,AHMED24CR@REDIFFMAIL.COM,2162.64,770.00
FORTUNE SOUMYA HERITAGE PHASE 3,P-BPL-17-1153,Ongoing,9826021986,fortunesoumyarera@rediffmail.com,881.12,278.80
HEAVENS DREAM,P-OTH-17-1156,Ongoing,9826010234,DREAMATKOLAR@GMAIL.COM,4754.00,1383.00
ADITYA MANSIONS,P-BPL-17-1160,Ongoing,9713318687,caharipatidar@gmail.com,893.68,123.46
A V GREEN CITY,P-OTH-17-1162,Ongoing,9826917520,akhilesh.shukla1@gmail.com,149.68,158.44
OFFICERS TOWN,P-BRS-17-1173,Ongoing,8889994874,rkjain02@gmail.com,597.00,573.26
APOLLO PARADISE,P-BPL-17-1176,Ongoing,8818888871,anurag.pune@gmail.com,191.16,42.32
HARSHIT LIFESTYLE,P-BPL-17-1179,Ongoing,9425303399,hitesh_91281@yahoo.com,53000000.00,
VARDHMAN GREEN ENCALVE,P-BPL-17-1181,Ongoing,9669222230,puneetgodha@gmail.com,325.00,18.74
FORTUNE SOUMYA HOUSING TULIP GREENS PHASE-2,P-BRS-17-1208,Ongoing,9826021986,fortunesoumyarera@rediffmail.com,789.42,87.51
PREM KESAR,P-BPL-17-1231,Ongoing,9826098178,amitabhindian@gmail.com,523.00,677.00
TREBHUVAN VIHAR,P-BPL-17-1237,Ongoing,9826853121,patidarrahul0104@gmail.com,285.28,499.07
CRYSTAL SMART CITY,P-BPL-17-1263,Ongoing,9826911533,harishshivnani26@gmail.com,44427375.00,165300000.00
GIRNAR HILLS PHASE 2,P-BPL-17-1264,Ongoing,9993490123,mohitsharma_bhp@yahoo.com,1111.60,129.22
LAHARPUR PHASE-2,P-BPL-17-1273,Ongoing,9425020213,vishan.asnani@asnanibuilders.com,1192.34,28.48
JAI MAHADEV SMART CITY,P-OTH-17-1289,Ongoing,9827098572,jprakash873@gmail.com,781.00,419.79
AMPLE VILLAS,P-BPL-17-1290,Ongoing,9425005969,sanjayvrm93@gmail.com,530.00,
S.S. TOWER,P-BPL-17-1300,Ongoing,9425009778,adityahousingbhopal@gmail.com,500.00,150.00
VINDHYA RESIDENCY,P-BPL-17-1304,Ongoing,9827024234,pyramidinfracons@rediffmail.com,160.00,
BHAVISHYA METRO CITY SEC-A,P-BPL-17-1320,Ongoing,8889955884,vinod.bhavishya@gmail.com,282530740.00,8355000.00
TOP DREAM CITY,P-BPL-17-1325,Ongoing,9200500700,akash_colonizer@yahoo.com,283.00,107.10
TOP CITY,P-OTH-17-1327,Ongoing,9200500700,akash_colonizer@yahoo.com,360.00,10.00
"SHRI RADHA KRISHNA RESIDENCY, PHASE-I",P-BPL-17-1346,Ongoing,9826343388,bhojpalbuilders@gmail.com,1074.20,886.92
KARNAWATI HOMES,P-BPL-17-1347,Ongoing,8349417148,vivekanandmishra19@yahoo.co.in,,
ARYAN SAJJA,P-BPL-17-1353,Ongoing,9826288650,aryancolonisers@yahoo.co.in,350.17,78.92
VP AAKAR ELITE,P-BPL-17-1354,Ongoing,9893570417,buildersaakar@gmail.com,76.71,66.28
MAHENDRA HEIGHTS,P-BPL-17-1359,Ongoing,8085328281,mahendrabuilders@rediffmail.com,167.64,100.00
IBD HALLMARK CITY PHASE-I,P-OTH-17-1364,Ongoing,8959903615,ibduniversalrera@gmail.com,2063.87,51.04
IBD EMPORIA,P-OTH-17-1366,Ongoing,8959903645,utkarshdevelopersrera@gmail.com,1110.11,200.00
EDEN GARDEN,P-BPL-17-1373,Ongoing,9301054505,bhawsarandcompany@gmail.com,2956.20,167.22
MY REALTY,P-BPL-17-1375,Ongoing,9752130000,myrealty121@yahoo.com,545.31,17.21
MADHURAM HOMES,P-BPL-17-1379,Ongoing,9862060800,sudhir111111@gmail.com,7534750.00,9652870.00
SAMMASATI PREMIUM,P-BPL-17-1382,Ongoing,9300688065,AHMED21CR@REDIFFMAIL.COM,229.40,65.67
VERTEX PRIME IV,P-BPL-17-1383,Ongoing,9823135222,vertexrealtors0755@gmail.com,31267000.00,24592750.00
VERTEX PRIME 1,P-BPL-17-1384,Ongoing,9823135222,vertexrealtors0755@gmail.com,27480000.00,20800500.00
SHEETAL DHAM,P-BPL-17-1390,Ongoing,9981686331,sheetalnathbuilders@gmail.com,695.26,175.00
KASTURI GREEN CITY,P-BPL-17-1394,New,9826069579,stutidevconbhopal@rediffmail.com,1600.00,900.00
MADHURAM HEIGHTS,P-BPL-17-1396,Ongoing,9826060800,dreamtele@rediffmail.com,5800000.00,1650000.00
SBD COSMOS CITY,P-BPL-17-1404,Ongoing,9826018349,sarveshbuilders@gmail.com,3045.00,529.00
DRISHTI CITY BLOCK C,P-BPL-17-1414,Ongoing,9303137170,drishtioffset@gmail.com,487.73,4.78
PARAS HEIGHTS - PHASE 4,P-BPL-17-1417,Ongoing,9827056550,parashomes@gmail.com,17500000.00,889000.00
DRISHTI CITY BLOCK F,P-BPL-17-1423,Ongoing,9303137170,drishtioffset@gmail.com,254.83,2.46
ULTIMATE SKY VILLAS PHASE-2,P-BPL-17-1432,Ongoing,9039056497,pali@ultimateconstructions.com,225456954.53,64028297.79
VAIDHYANATH CITY,P-BPL-17-1445,Ongoing,9827641517,mansabuilders2011@gmail.com,912.40,216.00
GREENWICH TOWER,P-BPL-17-1446,Ongoing,9630086666,aryavrat.housing@gmail.com,1300.00,73.66
GLOBUS CORAL CASA PHASE-2,P-BPL-17-1447,Ongoing,9009243000,globuscoralcasa@gmail.com,838.80,286.70
VASUNDHARA HEIGHTS,P-BPL-17-1452,Ongoing,9826030614,akrealestate75@gmail.com,275.00,120.00
SHUBHAM GREENS,P-BPL-17-1453,Ongoing,8871149040,shubhamnursery@gmail.com,1130.65,250.00
DRISHTI CITY COMMERCIAL,P-BPL-17-1457,Ongoing,9303137170,drishtioffset@gmail.com,108.15,2.22
PRINCE TOWN - PHASE II,P-OTH-17-1472,Ongoing,9165316111,bilalyog@yahoo.com,252.00,89.00
IBD HALLMARK CITY (IV) PHASE-I,P-BPL-17-1474,Ongoing,8959903615,ibduniversalrera@gmail.com,1485.00,72.41
MADHURAM PLAZA,P-BPL-17-1479,Ongoing,9826060800,dreamtele@rediffmail.com,6502000.00,3200000.00
VAIDHYANATH DHAM,P-BPL-17-1486,Ongoing,9827641517,mansabuilders2011@gmail.com,1455.00,85.86
SHRI KRISHNA HEIGHTS-PHASE-IV,P-BPL-17-1495,Ongoing,9826343388,bhojpalbuilders@gmail.com,978.08,168.39
SHRI KRISHNA HEIGHTS-PHASE-III,P-BPL-17-1496,Ongoing,9826343388,bhojpalbuilders@gmail.com,1792.06,457.86
SHRI KRISHNA HEIGHTS-PHASE-II,P-BPL-17-1497,Ongoing,9826343388,bhojpalbuilders@gmail.com,906.11,271.64
"SHRI KRISHNA HEIGHTS, PHASE-I",P-BPL-17-1498,Ongoing,9826343388,bhojpalbuilders@gmail.com,2898.32,856.58
VAISHNAV DHAM - PHASE 2,P-BPL-17-1504,Ongoing,9827053668,ramtani.sk@gmail.com,1118.00,222.50
VAISHNAV DHAM - PHASE 1,P-BPL-17-1505,Ongoing,9827053668,ramtani.sk@gmail.com,983.15,222.50
UB CITY (PHASE-1),P-OTH-17-1508,Ongoing,9893587710,ubcitybhopal@gmail.com,144.94,14.87
UB CITY (PHASE-2),P-OTH-17-1509,Ongoing,9893587710,ubcitybhopal@gmail.com,425.30,37.18
APAAR CITY,P-OTH-18-1524,New,9893272725,arunmeena900@gmail.com,300.00,35.00
RRG TOWNSHIP,P-BPL-18-1525,Ongoing,7747020020,rrgbhopal@gmail.com,125570000.00,60000000.00
MAYUR VIHAR,P-OTH-18-1529,Ongoing,9826338222,omair.1924@gmail.com,4499300.00,5850000.00
AMULYAM RESIDENCY - PHASE I,P-BRS-18-1532,Ongoing,9893326289,sargroupinfra@gmail.com,700.00,895.00
SURABHI HEIGHTS,P-BPL-18-1545,Ongoing,8871712829,vishalrajani86@gmail.com,665.61,55.65
MAYUR HOMES,P-OTH-18-1548,Ongoing,9200500700,akash_colonizer@yahoo.com,0.01,0.02
ALPINE JEWEL PHASE III,P-BPL-18-1560,Ongoing,8120003291,hiplinfrastructure@gmail.com,3313.74,172.29
ALPINE JEWEL PHASE II,P-BPL-18-1561,Ongoing,8120003291,hiplinfrastructure@gmail.com,789.77,34.45
ALPINE JEWEL PHASE I,P-BPL-18-1562,Ongoing,8120003291,hiplinfrastructure@gmail.com,1227.55,55.74
ALPINE GREENAGE PHASE I,P-BPL-18-1563,Ongoing,8120003291,hiplinfrastructure@gmail.com,2435.94,210.00
AWANTIKA HOMES,P-BPL-18-1578,New,9300010091,rajankumarmishra4@gmail.com,225.00,360.00
HARIPURAM,P-BPL-18-1582,Ongoing,9826015695,trebhuvan.infra@gmail.com,0.01,0.01
IMPERIAL CITY,P-BRS-18-1584,Ongoing,9826023758,kgncolonisers@gmail.com,800.00,700.00
RAJORA ESTATE,P-BPL-18-1593,Ongoing,7828888375,rajora.rih@gmail.com,355.39,74.84
SUKH SAGAR PHASE IV,P-BRS-18-1603,Ongoing,9977626000,chawlaconstruction6000@gmail.com,1000.00,1000.00
JAI MAHADEV SMART CITY (PHASE 2),P-OTH-18-1613,Ongoing,9827098572,jprakash873@gmail.com,921.00,527.72
SILVER TOWN - PHASE I,P-OTH-18-1616,Ongoing,9993508611,info@silverarch.net,81.00,135.00
SIGNATURE S-9 PHASE-2,P-BPL-18-1623,Ongoing,,,164.59,190.91
SIGNATURE S-9 PHASE-1,P-BPL-18-1624,Ongoing,8959910931,sales@thesignaturegroup.co.in,906.17,975.00
SURABHI SMART CITY PHASE A,P-BPL-18-1651,New,9977003781,vikasramtani@gmail.com,1004.00,150.00
CORAL COTTAGE,P-BPL-18-1654,Ongoing,9993209000,globushomes@yahoo.com,476.58,85.99
BUSINESS PARK,P-BPL-18-1657,New,9755500100,sufidevelopersllp@gmail.com,,
BRIJ DHAM PHASE - 2,P-BPL-18-1660,Ongoing,9977433339,ENTELLUS.EBD@GMAIL.COM,142.84,45.22
BRIJ DHAM PHASE -1,P-BPL-18-1661,Ongoing,9977433339,entellus.bd@gmail.com,220.86,19.69
EASTERN COUNTY PHASE 3,P-BPL-18-1662,New,9826650113,mirakaar@gmail.com,1239.80,10.11
FORTUNE SUPER DEFENCE CITY,P-BPL-18-1663,Ongoing,9589925786,superbuildersbhopal@gmail.com,628.00,
PEBBLE BAY PHASE-II,P-BPL-18-1671,Ongoing,,,1264.73,614.00
PRINCE TOWN - PHASE I,P-OTH-18-1673,Ongoing,9165316111,bilalyog@yahoo.com,970.00,194.00
PRINCE TOWN - PHASE III,P-OTH-18-1674,Ongoing,9165316111,bilalyog@yahoo.com,283.00,90.00
GIRNAR VALLEY PART B,P-BPL-18-1677,Ongoing,9993490123,shriprabhakarcolonizer@gmail.com,477.86,36.23
SHAKUN SAMRADDHI MULTIUNIT NAYAPURA,P-BPL-18-1678,New,9752776837,vrohit.choubey@gmail.com,560.00,50.00
PAVITRA PARISAR,P-BPL-18-1689,Ongoing,9827053131,hindmktg43@gmail.com,382.02,18.00
AKS LAND MARK SECTOR A,P-BRS-18-1691,Ongoing,9890601510,dhlsanjeev17@gmail.com,220.00,576.82
JEET HOMES,P-BPL-18-1704,Ongoing,9074523663,jeetrajput.01@gmail.com,771.00,4.46
"TIRUPATI ML HIGHRISE BLOCK-I, PHASE-II",P-BPL-18-1713,New,9425300227,tirupatihighrise0201@gmail.com,606.80,
ABHIJATYA TOWER,P-BPL-18-1723,Ongoing,9981762233,chandeldevendra46@gmail.com,320.00,196.02
PRABHATAM PLAZA,P-BPL-18-1725,New,9311225004,info@prabhatamgroup.com,579.38,15.28
ORCHEED GREEN,P-BPL-18-1731,Ongoing,9329731894,Ombuildersbhopal@gmail.com,68.40,2.97
ROYAL GULAB CITY,P-BPL-18-1744,New,9893652543,abhishek.chwl@gmail.com,72.69,1.00
AMALTAS OASIS,P-OTH-18-1750,New,9993333657,abdullah_amaltas@yahoo.com,888.00,1770.00
REVANTA CITY,P-BPL-18-1752,Ongoing,9425014050,bhartibuilders7@gmail.com,1064.65,169.73
MAPLE TREE PHASE II,P-BPL-18-1753,Ongoing,8889323232,anmol.construction2016@gmail.com,616.00,317.90
GREAT INDIA PLACE,P-BPL-18-1754,Ongoing,9810853071,ska@collageindia.com,9750.00,2164.00
UNIHOMES,P-BPL-18-1755,Ongoing,9810853071,ska@collageindia.com,7300.00,2805.00
WINDSOR PALMS PHASE 3,P-BPL-18-1770,Ongoing,,,,
WINDSOR PALMS PHASE 2,P-BPL-18-1771,Ongoing,,,2478.37,481.37
WINDSOR PALMS PHASE 1,P-BPL-18-1772,Ongoing,,,330.00,373.71
SIGNATURE GREEN PHASE 2 (EWS BLOCK),P-BPL-18-1774,Ongoing,9826722608,rajeshparchani@gmail.com,179.17,3.96
SIGNATURE RESIDENCY PHASE 2,P-BPL-18-1775,Ongoing,9826386671,dimensions_bpl@yahoo.co.in,606.19,215.93
GOKUL APARTMENT,P-BPL-18-1791,Ongoing,7000783368,patidarprashant7@gmail.com,297.88,189.89
PALAK VIHAR - II,P-BPL-18-1794,New,9826251297,palakconstructioncompany@gmail.com,1036.27,884.00
AKS SECTOR B,P-BRS-18-1806,Ongoing,9890601510,dhlsanjeev17@gmail.com,150.00,196.56
DEVELOPMENT WORKS OF AYODHYA EXTENSION BHOPAL,P-BPL-18-1808,Ongoing,9406912017,eedn4hbbpl@mp.gov.in,494.00,65.22
NEW SHRIRAM PARISAR PHASE III (EXISTING INCOMPLETE PHASE),P-BPL-18-1815,Ongoing,9302358304,regal.paradise2010@gmail.com,578.00,144.00
"SHRI RADHA KRISHNA RESIDENCY, EWS",P-BPL-18-1818,New,9826343388,bhojpalbuilders@gmail.com,93.17,93.80
SURABHI SMART CITY PHASE B,P-BPL-18-1819,New,9977003781,vikasramtani@gmail.com,2800.00,100.00
ASHIMA OLYMPIAD,P-BPL-18-1835,New,9039569008,naresh.moolani76@gmail.com,185.00,
SAGAR LAKE VIEW HOMES-II,P-BPL-18-1838,New,7773004847,agrawalbuilders@thesagar.in,1252.61,366.95
TAPTI PRIDE,P-BPL-18-1842,Ongoing,9685090057,taptiinfra123@gmail.com,0.90,250.00
CORAL MANGAL,P-OTH-18-1843,Ongoing,9826060837,neevdevelopersbpl@gmail.com,,
ASTERIA,P-BPL-18-1852,Ongoing,9811333611,rajeshbhargava@collageindia.com,2000.00,741.00
CHTRAKOOT PHASE 2,P-BPL-18-1860,New,9229333305,chitrakoot2.2010@gmail.com,1713.00,1900.00
VAJRA TOWERS,P-BPL-18-1868,New,9893047774,casumitdhankani@gmail.com,0.01,
PREMALAY,P-BPL-18-1879,New,7748041390,sanjayanglerathour26@gmail.com,161.95,50.37
AMAR PARISAR,P-BPL-18-1895,New,9425016317,agarwal.gendalal@gmail.com,1143.95,287.58
JEET HOMES PHASE III,P-BPL-18-1906,New,9074523663,jeetrajput.01@gmail.com,3818.88,9.64
PARAS TRINITY PARK PHASE A,P-BPL-18-1907,New,9926499285,parasbhopal@parashousing.com,,
INOXE GARDEN,P-BPL-18-1911,New,7879844631,inoxeconstruction@gmail.com,2978.00,143.00
PEOPLE WORLD,P-BPL-18-1915,New,9098793122,cspeoplesgroup@gmail.com,150.00,271.42
HIMALAYA PRIDE,P-BPL-18-1923,New,9425004896,parmanivishwas@gmail.com,390.00,212.00
SHIVLOK HEIGHTS,P-BPL-18-1928,New,9826055819,draupadiconstruction@gmail.com,2319.10,702.73
KASTURI ROYAL PARK,P-BPL-18-1951,New,7000388087,jdnbhopal@gmail.com,,0.01
EVERGREEN VILLAS,P-BPL-18-1961,Ongoing,9303130291,nsiploffice@gmail.com,15.34,24.72
SAMRIDDHI TOWERS BY SRI ARIHANT BUILDERS &AMP; DEVELOPERS BHOPAL,P-BRS-18-1964,New,9425086220,dpagrawalknw@gmail.com,290.00,153.46
THE C21 MALL &QUOT;CORPORATE ZONE II&QUOT;,P-BPL-18-1965,Ongoing,8223004245,yogeshgupta@c21malls.co.in,135.47,406.42
NAKSHATRA ENCLAVE,P-BPL-18-1972,Ongoing,9893155401,rkn.buildcon@gmail.com,4950.00,51.50
"RESIDENTIAL TOWNSHIP AT KOKTA, BHOPAL UNDER PRADHAN MANTRI AWAS YOJANA (URBAN)",P-BPL-18-1980,New,9424499770,bmcmp.hfa@gmail.com,12021.55,
WEST WIND APARTMENT,P-BPL-18-1982,Ongoing,9303130291,nsiploffice@gmail.com,280.00,
BHAVISHYA KINGS PARK PHASE-1,P-BRS-18-1986,New,8120077888,pramod.bbd13@gmail.com,388.36,116.60
PARAM HEIGHTS,P-BPL-18-1988,New,9826040086,parmanivishwas@hotmail.com,177.89,36.10
SOUMYA EVERGREEN-EWS,P-BPL-18-2019,New,9827058264,soumyahomesrera@gmail.com,63.30,7.16
NAND VIHAR,P-BPL-18-2023,New,7389942131,tirupatibuilders@yahoo.com,505.00,300.00
KANTA SHRAWAN BHAGWATI,P-BPL-18-2048,New,9425302973,shrawanhomes@gmail.com,441.63,1275.00
BANSAL-ONE IN BANSAL CITY CENTRE,P-BPL-18-2055,New,7899023540,avnish@bansalgroup.net.in,9798.00,5147.00
OLIVE ENCLAVE,P-BPL-19-2087,New,9893243888,shameemkhan345q@gmail.com,950.76,3.00
RELIABLE TOWER-EWS,P-BPL-19-2102,New,9893872464,firozjam1234@gmail.com,155.00,115.00
COMFORT LUSH GREEN,P-BPL-19-2104,New,9926908363,vkbuildersbpl@gmail.com,1999.29,601.55
ASNANI VALENCIA PHASE 1,P-BPL-19-2107,New,9425020213,vishan.asnani@asnanibuilders.com,1140.34,64.18
HANUMANT VIJAY CITY,P-BRS-19-2118,Ongoing,9770094670,dreamsrealestate2014@gmail.com,93.90,51.96
CRYSTAL IDEAL CITY PHASE-IV,P-BPL-19-2120,New,9826911533,harishshivnani26@gmail.com,3203.55,70.62
SOUMYA GREENVILLE PHASE-1,P-BPL-19-2121,New,9981666323,sanjay.soumyahomes@gmail.com,410.00,170.00
PARAS TRINITY PARK PHASE B,P-BPL-19-2133,New,9926499285,parasbhopal@parashousing.com,294.00,50.50
KAJAL ENCLAVE,P-BPL-19-2141,New,9893645091,shikhar.builder@rediffmail.com,50.00,228.00
ARCHNA PARISAR,P-BPL-19-2144,Ongoing,9993551111,yogendrarajput@live.in,1800.00,800.28
AASHIMA ANUPAMA CITY PHASE 1,P-BPL-19-2150,New,9993553162,opkbpl01@gmail.com,7329.81,2993.47
GAGAN PALACE,P-BPL-19-2170,New,9826051426,edgespectra@gmail.com,185.00,50.00
PALM CITY- 2 ( GIRNAR VALLEY PHASE-3),P-OTH-19-2183,New,9713471551,formativebpl@gmail.com,260.39,
SAGAR HIGH STREET,P-BPL-19-2185,New,9977823068,shs.agrawalconstruction@gmail.com,1551.14,26.72
SAGE HERITAGE PHASE- I,P-BPL-19-2186,New,8223001854,sh.agrawalconstruction@gmail.com,2176.50,589.36
K J HEIGHTS,P-BPL-19-2191,Ongoing,9993444157,kjconstructionsbpl@gmail.com,528.50,47.26
PARSHVDHAM PHACE 2,P-BPL-19-2192,New,9669579956,jain3vivek@gmail.com,300.00,75.00
ANUPAM KASTURI-I,P-BPL-19-2199,New,9926786966,umangsharma4079@gmail.com,909.00,
SAI SIDDHA HEIGHTS BLOCK A,P-BPL-19-2207,Ongoing,9977314378,edplprojects@gmail.com,615.00,330.44
SAI SIDDHA HEIGHTS BLOCK B,P-BPL-19-2208,Ongoing,9977314378,edplprojects@gmail.com,1215.81,407.54
ONKAR ARCADE,P-BPL-19-2214,New,9827058344,rawtaniharish@gmail.com,355.00,155.25
"AFFORDABLE HOUSING PROJECT AT 12 NUMBER STOP (PHASE - 1), BHOPAL UNDER PMAY (URBAN)",P-BPL-19-2248,New,9424499770,bmcmp.hfa@gmail.com,5762.88,
"AFFORDABLE HOUSING PROJECT AT RAHUL NAGAR (PHASE - 1) NEAR RIVERA TOWNE, BHOPAL UNDER PMAY (URBAN)",P-BPL-19-2249,New,9424499770,bmcmp.hfa@gmail.com,3481.92,
SHIV OM GREEN CITY,P-BPL-19-2287,Ongoing,7869669977,meerametal.mmc@gmail.com,630.00,201.71
BALAJI PARISAR,P-BPL-19-2288,New,8120555777,balajiparisar@gmail.com,1729.00,1225.00
SAHAJ HOMES,P-OTH-19-2291,New,9826030005,pratapsaluja@gmail.com,45.00,178.00
D.K. 24 CARAT PHASE-II,P-BPL-19-2295,New,9826020191,info@dkconstructionsbhopal.com,849.60,110.00
SIGNATURE CITY PHASE 4,P-BPL-19-2309,Ongoing,7869962515,directorsdesk@thesignaturegroup.co.in,1370.47,95.66
SIGNATURE 360 PHASE 3,P-BPL-19-2310,Ongoing,8959910933,dineshvaswani@gmail.com,930.62,395.55
SAGE EMPORIA,P-BPL-19-2316,New,9826036274,se.agrawalconstruction@gmail.com,1014.00,1379.54
